scenario,trial_id,success,goal_reached,collision_free,time_sec,path_length_m,avg_linear_vel,avg_angular_vel,recovery_count,collision_count,stuck,min_clearance_m,avg_clearance_m,hit_cat,hit_obstacles,avg_traversability,avg_corridor_width
S3,1,1,1,1,29.48,12.15,0.396,0.166,0,0,0,0.061,1.136,0,none,0.963,361.92
S3,2,1,1,1,29.18,12.11,0.4,0.166,0,0,0,0.062,1.148,0,none,0.963,361.96
S3,3,1,1,1,29.81,12.18,0.393,0.169,0,0,0,0.062,1.124,0,none,0.962,361.97
S3,4,1,1,1,29.57,12.16,0.397,0.168,0,0,0,0.059,1.135,0,none,0.961,361.76
S3,5,1,1,1,30.0,12.21,0.392,0.17,0,0,0,0.061,1.129,0,none,0.959,361.62
S3,6,1,1,1,29.21,12.13,0.401,0.166,0,0,0,0.06,1.153,0,none,0.964,362.0
S3,7,1,1,1,29.82,12.17,0.393,0.168,0,0,0,0.062,1.134,0,none,0.961,361.85
S3,8,1,1,1,29.27,12.14,0.4,0.164,0,0,0,0.063,1.148,0,none,0.963,362.0
S3,9,1,1,1,29.31,12.12,0.399,0.166,0,0,0,0.06,1.135,0,none,0.961,362.0
S3,10,1,1,1,29.49,12.15,0.397,0.167,0,0,0,0.06,1.135,0,none,0.961,361.96
S3,1,1,1,1,29.63,12.14,0.397,0.167,0,0,0,0.059,1.131,0,none,0.965,361.99
S3,2,1,1,1,29.41,12.15,0.4,0.168,0,0,0,0.06,1.145,0,none,0.964,361.99
S3,3,1,1,1,29.24,12.11,0.403,0.166,0,0,0,0.062,1.146,0,none,0.965,362.0
S3,4,0,1,0,29.53,12.15,0.399,0.166,0,1,0,-0.013,1.144,1,obstacle_cat,0.965,361.92
S3,5,0,1,0,29.94,12.16,0.393,0.169,0,1,0,-0.015,1.116,1,obstacle_cat,0.963,361.61
S3,6,0,1,0,29.82,12.15,0.396,0.166,0,1,0,-0.016,1.138,1,obstacle_cat,0.964,362.0
S3,7,0,1,0,29.42,12.14,0.401,0.165,0,1,0,-0.013,1.146,1,obstacle_cat,0.961,361.96
S3,8,0,1,0,29.56,12.16,0.399,0.165,0,1,0,-0.013,1.144,1,obstacle_cat,0.965,362.0
S3,9,0,1,0,29.36,12.13,0.403,0.165,0,1,0,-0.014,1.137,1,obstacle_cat,0.962,361.99
S3,10,0,1,0,29.23,12.13,0.403,0.165,0,1,0,-0.015,1.136,1,obstacle_cat,0.965,362.0
