t,x,y
0.05,0.0,0.0
0.1,0.0007,-0.0001
0.15,0.0134,-0.0013
0.21,0.026,-0.0025
0.26,0.0386,-0.0037
0.32,0.0512,-0.005
0.37,0.0639,-0.0061
0.42,0.0766,-0.0068
0.47,0.0892,-0.0056
0.53,0.1018,-0.0044
0.59,0.1144,-0.0032
0.64,0.1271,-0.002
0.69,0.1397,-0.0006
0.74,0.1523,0.0008
0.8,0.1649,0.0022
0.85,0.1771,0.0045
0.9,0.1886,0.0084
0.96,0.1993,0.013
1.01,0.2085,0.0189
1.06,0.2177,0.0248
1.11,0.2272,0.0308
1.17,0.2354,0.0372
1.22,0.2421,0.0441
1.27,0.249,0.0512
1.33,0.2561,0.0583
1.38,0.2633,0.0656
1.43,0.2706,0.0729
1.48,0.2781,0.0804
1.54,0.2856,0.088
1.59,0.2934,0.0956
1.64,0.3012,0.1033
1.69,0.3091,0.1111
1.75,0.3171,0.1189
1.8,0.3256,0.127
1.86,0.3342,0.1353
1.91,0.3434,0.1439
1.96,0.3528,0.1528
2.02,0.3629,0.1621
2.07,0.3731,0.1716
2.12,0.3843,0.1815
2.17,0.3955,0.1915
2.23,0.4079,0.2021
2.28,0.4203,0.2128
2.34,0.4341,0.2241
2.39,0.4481,0.2355
2.45,0.4637,0.2476
2.5,0.4795,0.2598
2.55,0.4963,0.272
2.6,0.513,0.2843
2.65,0.5299,0.2965
2.7,0.5468,0.3088
2.75,0.5641,0.3208
2.8,0.5814,0.3328
2.86,0.5991,0.3446
2.91,0.6168,0.3564
2.96,0.6345,0.3683
3.02,0.6523,0.3802
3.07,0.6703,0.3919
3.13,0.6882,0.4035
3.18,0.7063,0.4149
3.23,0.7244,0.4262
3.29,0.7425,0.4373
3.34,0.7606,0.4484
3.39,0.7787,0.4594
3.44,0.7968,0.4703
3.5,0.8149,0.481
3.55,0.833,0.4918
3.6,0.851,0.5024
3.66,0.869,0.513
3.71,0.887,0.5235
3.77,0.9049,0.5339
3.82,0.9229,0.5443
3.87,0.9408,0.5548
3.93,0.9589,0.5652
