t,x,y
0.0,0.0,0.0
0.05,0.0,0.0
0.11,0.0025,-0.0002
0.16,0.0278,-0.0025
0.21,0.0531,-0.0047
0.26,0.0784,-0.0066
0.31,0.0999,-0.0077
0.36,0.1002,-0.0041
0.41,0.1063,-0.0006
0.47,0.1314,0.0027
0.52,0.1559,0.0076
0.57,0.1784,0.0164
0.62,0.2009,0.0254
0.67,0.2235,0.0343
0.72,0.2447,0.0445
0.77,0.2633,0.0569
0.83,0.2803,0.0701
0.88,0.2948,0.0842
0.93,0.3097,0.0985
0.98,0.325,0.113
1.03,0.3406,0.1276
1.08,0.3567,0.1423
1.13,0.373,0.1571
1.18,0.3899,0.1719
1.24,0.4072,0.1867
1.29,0.4249,0.2016
1.34,0.4431,0.2163
1.39,0.4617,0.2309
1.44,0.4807,0.2454
1.49,0.4999,0.2598
1.55,0.5197,0.274
1.6,0.5396,0.2882
1.65,0.5597,0.3023
1.7,0.5798,0.3164
1.75,0.6008,0.3298
1.8,0.622,0.3431
1.85,0.6433,0.3562
1.91,0.6646,0.3694
1.96,0.686,0.3826
2.01,0.7074,0.3958
2.06,0.7289,0.4089
2.11,0.7503,0.4221
2.16,0.7718,0.4353
2.22,0.7933,0.4485
2.27,0.8149,0.4616
2.32,0.8365,0.4748
2.37,0.8581,0.4879
2.42,0.8797,0.5011
2.47,0.9013,0.5143
2.52,0.9228,0.5275
2.58,0.9445,0.5407
2.63,0.9661,0.5539
2.68,0.9877,0.5671
2.73,1.0094,0.5803
2.78,1.0311,0.5935
2.83,1.0528,0.6067
2.89,1.0745,0.6198
2.94,1.0962,0.633
2.99,1.1177,0.6464
3.04,1.1393,0.6599
3.09,1.1608,0.6733
3.14,1.1824,0.6867
3.2,1.204,0.7001
3.25,1.2255,0.7136
3.3,1.2471,0.727
3.35,1.2687,0.7404
3.4,1.2903,0.7538
3.45,1.3119,0.7673
3.51,1.3335,0.7807
3.56,1.3551,0.7941
3.61,1.3768,0.8075
3.66,1.3984,0.8209
3.71,1.42,0.8343
3.76,1.4417,0.8477
3.82,1.4633,0.8611
3.87,1.486,0.8722
3.92,1.5096,0.8814
3.97,1.5304,0.8861
4.02,1.5494,0.8876
4.08,1.56,0.8865
4.13,1.566,0.884
4.18,1.5678,0.882
4.23,1.5677,0.8802
4.28,1.5676,0.8785
4.33,1.5676,0.8768
4.38,1.5679,0.8755
4.43,1.5683,0.8742
4.49,1.5691,0.8725
4.54,1.5699,0.8707
4.59,1.5714,0.8682
4.64,1.5729,0.8654
