scenario,trial_id,success,goal_reached,collision_free,time_sec,path_length_m,avg_linear_vel,avg_angular_vel,recovery_count,collision_count,stuck,min_clearance_m,avg_clearance_m,hit_cat,hit_obstacles,avg_traversability,avg_corridor_width
S7,1,1,1,1,50.02,13.1,0.252,0.168,0,0,0,0.286,0.969,0,none,0.955,359.36
S7,2,1,1,1,43.32,12.7,0.284,0.168,0,0,0,0.119,1.033,0,none,0.969,360.84
S7,3,1,1,1,46.59,12.7,0.264,0.194,0,0,0,0.111,0.989,0,none,0.928,358.21
S7,4,1,1,1,51.87,13.22,0.245,0.172,0,0,0,0.234,0.95,0,none,0.956,359.7
S7,5,1,1,1,49.56,12.96,0.252,0.209,0,0,0,0.118,0.98,0,none,0.931,357.42
S7,6,1,1,1,51.26,12.88,0.243,0.201,0,0,0,0.282,0.948,0,none,0.945,356.81
S7,7,1,1,1,48.37,12.65,0.254,0.198,0,0,0,0.158,0.962,0,none,0.972,361.14
S7,8,1,1,1,48.63,12.85,0.256,0.199,0,0,0,0.111,0.985,0,none,0.93,357.06
S7,9,1,1,1,47.18,12.91,0.264,0.192,0,0,0,0.26,0.994,0,none,0.96,360.66
S7,10,1,1,1,45.8,12.74,0.27,0.18,0,0,0,0.146,1.028,0,none,0.969,361.11
