t,trav_lidar,trav_thermal_filt,trav_eff
0.101,1.0,1.0,1.0
0.2,1.0,1.0,1.0
0.302,1.0,1.0,1.0
0.405,1.0,1.0,1.0
0.507,1.0,1.0,1.0
0.61,1.0,1.0,1.0
0.713,1.0,1.0,1.0
0.813,1.0,1.0,1.0
0.915,1.0,1.0,1.0
1.018,1.0,1.0,1.0
1.118,1.0,1.0,1.0
1.22,1.0,1.0,1.0
1.32,1.0,1.0,1.0
1.422,1.0,1.0,1.0
1.524,1.0,1.0,1.0
1.624,1.0,1.0,1.0
1.727,1.0,1.0,1.0
1.828,1.0,1.0,1.0
1.928,1.0,1.0,1.0
2.031,1.0,1.0,1.0
2.132,1.0,1.0,1.0
2.237,1.0,1.0,1.0
2.338,1.0,1.0,1.0
2.44,1.0,1.0,1.0
2.544,1.0,1.0,1.0
2.646,1.0,1.0,1.0
2.749,1.0,1.0,1.0
2.85,1.0,1.0,1.0
2.955,1.0,1.0,1.0
3.056,1.0,1.0,1.0
3.157,1.0,1.0,1.0
3.259,1.0,1.0,1.0
3.36,1.0,1.0,1.0
3.463,1.0,1.0,1.0
3.564,1.0,1.0,1.0
3.665,1.0,1.0,1.0
3.768,1.0,1.0,1.0
3.871,1.0,1.0,1.0
3.975,1.0,1.0,1.0
4.08,1.0,1.0,1.0
4.182,1.0,1.0,1.0
4.282,1.0,0.9892,0.9892
4.382,1.0,0.9838,0.9838
4.487,1.0,0.9811,0.9811
4.592,1.0,0.9551,0.9551
4.693,1.0,0.9422,0.9422
4.794,1.0,0.9326,0.9326
4.896,1.0,0.9279,0.9279
4.997,1.0,0.923,0.923
5.099,1.0,0.9206,0.9206
5.199,1.0,0.9158,0.9158
5.303,1.0,0.9134,0.9134
5.405,1.0,0.911,0.911
5.505,1.0,0.9098,0.9098
5.609,1.0,0.908,0.908
5.714,1.0,0.9071,0.9071
5.816,1.0,0.9066,0.9066
5.919,1.0,0.9043,0.9043
6.022,1.0,0.9031,0.9031
6.125,1.0,0.9025,0.9025
6.231,1.0,0.8974,0.8974
6.334,1.0,0.8949,0.8949
6.434,1.0,0.8908,0.8908
6.539,1.0,0.8887,0.8887
6.64,1.0,0.8847,0.8847
6.742,1.0,0.8827,0.8827
6.843,1.0,0.8817,0.8817
6.946,1.0,0.8775,0.8775
7.048,1.0,0.8754,0.8754
7.149,1.0,0.8722,0.8722
7.251,1.0,0.8705,0.8705
7.354,1.0,0.8697,0.8697
7.456,1.0,0.8668,0.8668
7.56,1.0,0.8653,0.8653
7.663,1.0,0.8629,0.8629
7.767,1.0,0.8617,0.8617
7.867,1.0,0.86,0.86
7.968,1.0,0.8591,0.8591
8.072,1.0,0.8586,0.8586
8.177,1.0,0.8567,0.8567
8.275,1.0,0.8557,0.8557
8.374,1.0,0.8553,0.8553
8.475,1.0,0.8532,0.8532
8.575,1.0,0.8521,0.8521
8.68,1.0,0.8503,0.8503
8.783,1.0,0.8494,0.8494
8.884,1.0,0.8489,0.8489
8.985,1.0,0.8472,0.8472
9.086,1.0,0.8464,0.8464
9.188,1.0,0.8455,0.8455
9.291,1.0,0.8451,0.8451
9.392,1.0,0.844,0.844
9.495,1.0,0.8434,0.8434
9.596,1.0,0.8417,0.8417
9.699,1.0,0.8409,0.8409
9.8,1.0,0.8405,0.8405
9.901,1.0,0.825,0.825
10.002,1.0,0.8173,0.8173
10.106,1.0,0.7953,0.7953
10.205,1.0,0.7844,0.7844
10.308,1.0,0.7721,0.7721
10.41,1.0,0.766,0.766
10.515,1.0,0.7629,0.7629
10.617,1.0,0.7782,0.7782
10.717,1.0,0.7904,0.7904
10.823,1.0,0.8142,0.8142
10.925,1.0,0.8332,0.8332
11.026,1.0,0.8491,0.8491
11.126,1.0,0.8617,0.8617
11.226,1.0,0.8786,0.8786
11.326,1.0,0.8921,0.8921
11.429,1.0,0.9029,0.9029
11.531,1.0,0.9223,0.9223
11.634,1.0,0.9378,0.9378
11.735,1.0,0.9503,0.9503
11.836,1.0,0.9602,0.9602
11.935,1.0,0.9682,0.9682
12.038,1.0,0.9745,0.9745
12.139,1.0,0.9796,0.9796
12.242,1.0,0.9837,0.9837
12.344,1.0,0.987,0.987
12.447,1.0,0.9896,0.9896
12.553,1.0,0.9917,0.9917
12.659,1.0,0.9933,0.9933
12.76,1.0,0.9947,0.9947
12.86,1.0,0.9957,0.9957
12.961,1.0,0.9966,0.9966
13.061,1.0,0.9973,0.9973
13.162,1.0,0.9978,0.9978
13.263,1.0,0.9983,0.9983
13.367,1.0,0.9986,0.9986
13.469,1.0,0.9989,0.9989
13.571,1.0,0.9991,0.9991
13.673,1.0,0.9993,0.9993
13.774,1.0,0.9994,0.9994
13.877,1.0,0.9995,0.9995
13.979,1.0,0.9996,0.9996
14.081,1.0,0.9997,0.9997
14.181,1.0,0.9998,0.9998
14.284,1.0,0.9998,0.9998
14.386,1.0,0.9998,0.9998
14.488,1.0,0.9999,0.9999
14.589,1.0,0.9999,0.9999
14.692,1.0,0.9999,0.9999
14.793,1.0,0.9999,0.9999
14.894,1.0,1.0,1.0
14.996,1.0,1.0,1.0
15.099,1.0,1.0,1.0
15.2,1.0,1.0,1.0
15.303,1.0,1.0,1.0
15.404,1.0,1.0,1.0
15.509,1.0,1.0,1.0
15.609,1.0,1.0,1.0
15.708,1.0,1.0,1.0
15.81,1.0,1.0,1.0
15.912,1.0,1.0,1.0
16.012,1.0,1.0,1.0
16.113,1.0,1.0,1.0
16.213,1.0,1.0,1.0
16.317,1.0,1.0,1.0
16.423,1.0,1.0,1.0
16.523,1.0,1.0,1.0
16.624,1.0,1.0,1.0
16.727,1.0,1.0,1.0
16.827,1.0,1.0,1.0
16.929,1.0,1.0,1.0
17.03,1.0,1.0,1.0
17.133,1.0,1.0,1.0
17.235,1.0,1.0,1.0
17.336,1.0,1.0,1.0
17.437,1.0,1.0,1.0
17.539,1.0,1.0,1.0
17.642,1.0,1.0,1.0
17.743,1.0,1.0,1.0
17.846,1.0,1.0,1.0
17.95,1.0,1.0,1.0
18.052,1.0,1.0,1.0
18.158,1.0,1.0,1.0
18.259,1.0,1.0,1.0
18.359,1.0,1.0,1.0
18.46,1.0,1.0,1.0
18.562,1.0,1.0,1.0
18.666,1.0,1.0,1.0
18.77,1.0,1.0,1.0
18.871,1.0,1.0,1.0
18.973,1.0,1.0,1.0
19.078,1.0,1.0,1.0
19.179,1.0,1.0,1.0
19.282,1.0,1.0,1.0
19.386,1.0,1.0,1.0
19.489,1.0,1.0,1.0
19.59,1.0,1.0,1.0
19.692,1.0,1.0,1.0
19.795,1.0,1.0,1.0
19.897,1.0,1.0,1.0
19.996,1.0,1.0,1.0
20.101,1.0,1.0,1.0
20.205,1.0,1.0,1.0
20.306,1.0,1.0,1.0
20.41,1.0,1.0,1.0
20.514,1.0,1.0,1.0
20.615,1.0,1.0,1.0
20.717,1.0,1.0,1.0
20.82,1.0,1.0,1.0
20.922,1.0,1.0,1.0
21.023,1.0,1.0,1.0
21.124,1.0,1.0,1.0
21.223,1.0,1.0,1.0
21.326,1.0,1.0,1.0
21.426,1.0,1.0,1.0
21.529,1.0,1.0,1.0
21.63,1.0,1.0,1.0
21.735,1.0,1.0,1.0
21.838,1.0,1.0,1.0
21.942,1.0,1.0,1.0
22.043,1.0,1.0,1.0
22.144,1.0,1.0,1.0
22.249,1.0,1.0,1.0
22.35,1.0,1.0,1.0
22.454,1.0,1.0,1.0
22.556,1.0,1.0,1.0
22.657,1.0,1.0,1.0
22.758,1.0,1.0,1.0
22.862,1.0,1.0,1.0
22.963,1.0,1.0,1.0
23.064,1.0,1.0,1.0
23.168,1.0,1.0,1.0
23.271,1.0,1.0,1.0
23.371,1.0,1.0,1.0
23.472,1.0,1.0,1.0
23.573,1.0,1.0,1.0
23.676,1.0,1.0,1.0
23.779,1.0,1.0,1.0
23.88,1.0,1.0,1.0
23.984,1.0,1.0,1.0
24.089,1.0,1.0,1.0
24.192,1.0,1.0,1.0
24.296,1.0,1.0,1.0
24.397,1.0,1.0,1.0
24.5,1.0,1.0,1.0
24.604,1.0,1.0,1.0
24.704,1.0,1.0,1.0
24.806,1.0,1.0,1.0
24.906,1.0,1.0,1.0
25.008,1.0,1.0,1.0
25.109,1.0,1.0,1.0
25.209,1.0,1.0,1.0
25.311,1.0,1.0,1.0
25.414,1.0,1.0,1.0
25.516,1.0,1.0,1.0
25.617,1.0,1.0,1.0
25.717,1.0,1.0,1.0
25.821,1.0,1.0,1.0
25.925,1.0,1.0,1.0
26.028,1.0,1.0,1.0
26.13,1.0,1.0,1.0
26.233,1.0,1.0,1.0
26.336,1.0,1.0,1.0
26.435,1.0,1.0,1.0
26.535,1.0,1.0,1.0
26.638,1.0,1.0,1.0
26.742,1.0,1.0,1.0
26.844,1.0,1.0,1.0
26.947,1.0,1.0,1.0
27.05,1.0,1.0,1.0
27.154,1.0,1.0,1.0
27.257,1.0,1.0,1.0
27.359,1.0,1.0,1.0
27.463,1.0,1.0,1.0
27.566,1.0,1.0,1.0
27.668,1.0,1.0,1.0
27.77,1.0,1.0,1.0
27.869,1.0,1.0,1.0
27.97,1.0,1.0,1.0
28.07,1.0,1.0,1.0
28.17,1.0,1.0,1.0
28.272,1.0,1.0,1.0
28.376,1.0,1.0,1.0
28.476,1.0,1.0,1.0
28.578,1.0,1.0,1.0
28.681,1.0,1.0,1.0
28.784,1.0,1.0,1.0
28.884,1.0,1.0,1.0
28.987,1.0,1.0,1.0
29.089,1.0,1.0,1.0
29.191,1.0,1.0,1.0
29.292,1.0,1.0,1.0
29.395,1.0,1.0,1.0
29.495,1.0,1.0,1.0
29.597,1.0,1.0,1.0
29.7,1.0,1.0,1.0
29.802,1.0,1.0,1.0
29.905,1.0,1.0,1.0
30.009,1.0,1.0,1.0
30.112,1.0,1.0,1.0
30.214,1.0,1.0,1.0
30.316,1.0,1.0,1.0
30.418,1.0,1.0,1.0
30.517,1.0,1.0,1.0
30.62,1.0,0.9366,0.9366
30.722,1.0,0.9048,0.9048
30.824,1.0,0.889,0.889
30.925,1.0,0.8574,0.8574
31.029,1.0,0.8416,0.8416
31.13,1.0,0.84,0.84
31.229,1.0,0.8393,0.8393
31.332,1.0,0.8623,0.8623
31.435,1.0,0.8807,0.8807
31.539,1.0,0.8954,0.8954
31.641,1.0,0.9072,0.9072
31.742,1.0,0.9257,0.9257
31.842,1.0,0.9406,0.9406
31.942,1.0,0.9525,0.9525
32.043,1.0,0.962,0.962
32.148,1.0,0.9696,0.9696
32.251,1.0,0.9757,0.9757
32.355,1.0,0.9805,0.9805
32.456,1.0,0.9844,0.9844
32.56,1.0,0.9875,0.9875
32.661,1.0,0.99,0.99
32.761,1.0,0.992,0.992
32.867,1.0,0.9936,0.9936
32.966,1.0,0.9949,0.9949
33.068,1.0,0.9959,0.9959
33.17,1.0,0.9967,0.9967
33.271,1.0,0.9974,0.9974
33.373,1.0,0.9979,0.9979
33.474,1.0,0.9983,0.9983
33.578,1.0,0.9987,0.9987
33.681,1.0,0.9989,0.9989
33.782,1.0,0.9991,0.9991
33.886,1.0,0.9993,0.9993
33.989,1.0,0.9995,0.9995
34.09,1.0,0.9996,0.9996
34.194,1.0,0.9996,0.9996
34.296,1.0,0.9997,0.9997
34.397,1.0,0.9998,0.9998
34.497,1.0,0.9998,0.9998
34.599,1.0,0.9999,0.9999
34.7,1.0,0.9999,0.9999
34.802,1.0,0.9999,0.9999
34.907,1.0,0.9999,0.9999
35.007,1.0,0.9999,0.9999
35.109,1.0,1.0,1.0
35.212,1.0,1.0,1.0
35.312,1.0,1.0,1.0
35.416,1.0,1.0,1.0
35.521,1.0,1.0,1.0
35.624,1.0,1.0,1.0
35.726,1.0,1.0,1.0
35.827,1.0,1.0,1.0
35.927,1.0,1.0,1.0
36.029,1.0,1.0,1.0
36.131,1.0,1.0,1.0
36.235,1.0,1.0,1.0
36.336,1.0,1.0,1.0
36.44,1.0,1.0,1.0
36.542,1.0,1.0,1.0
36.646,1.0,1.0,1.0
36.749,1.0,1.0,1.0
36.85,1.0,1.0,1.0
36.953,1.0,0.9934,0.9934
37.059,1.0,0.9901,0.9901
37.16,1.0,0.9885,0.9885
37.264,1.0,0.9694,0.9694
37.364,1.0,0.9599,0.9599
37.467,1.0,0.9551,0.9551
37.57,1.0,0.9556,0.9556
37.674,1.0,0.956,0.956
37.774,1.0,0.962,0.962
37.875,1.0,0.9668,0.9668
37.976,1.0,0.9706,0.9706
38.078,1.0,0.9765,0.9765
38.181,1.0,0.9812,0.9812
38.282,1.0,0.985,0.985
38.385,1.0,0.988,0.988
38.488,1.0,0.9904,0.9904
38.588,1.0,0.9923,0.9923
38.69,1.0,0.9938,0.9938
38.792,1.0,0.9951,0.9951
38.894,1.0,0.9961,0.9961
38.995,1.0,0.9968,0.9968
39.096,1.0,0.9975,0.9975
39.199,1.0,0.998,0.998
39.3,1.0,0.9984,0.9984
39.4,1.0,0.9987,0.9987
39.501,1.0,0.999,0.999
39.603,1.0,0.9992,0.9992
39.703,1.0,0.9993,0.9993
39.804,1.0,0.9995,0.9995
39.906,1.0,0.9996,0.9996
40.011,1.0,0.9997,0.9997
40.114,1.0,0.9997,0.9997
40.217,1.0,0.9998,0.9998
40.319,1.0,0.9998,0.9998
40.424,1.0,0.9999,0.9999
40.531,1.0,0.9999,0.9999
40.631,1.0,0.9999,0.9999
40.732,1.0,0.9999,0.9999
40.834,1.0,0.9999,0.9999
40.938,1.0,1.0,1.0
41.038,1.0,1.0,1.0
41.14,1.0,1.0,1.0
41.243,1.0,1.0,1.0
41.346,1.0,1.0,1.0
41.447,1.0,1.0,1.0
41.552,1.0,1.0,1.0
41.655,1.0,1.0,1.0
41.757,1.0,1.0,1.0
41.859,1.0,1.0,1.0
41.959,1.0,1.0,1.0
42.059,1.0,1.0,1.0
42.158,1.0,1.0,1.0
42.261,1.0,1.0,1.0
42.364,1.0,1.0,1.0
42.466,1.0,1.0,1.0
42.57,1.0,1.0,1.0
42.671,1.0,1.0,1.0
42.774,1.0,1.0,1.0
42.877,1.0,1.0,1.0
42.979,1.0,1.0,1.0
43.079,1.0,1.0,1.0
43.183,1.0,1.0,1.0
43.284,1.0,1.0,1.0
43.387,1.0,1.0,1.0
43.489,1.0,1.0,1.0
43.592,1.0,1.0,1.0
43.693,1.0,1.0,1.0
43.793,1.0,1.0,1.0
43.894,1.0,1.0,1.0
43.999,1.0,1.0,1.0
44.105,1.0,1.0,1.0
